match	kingdom	phylum	class	order	family	genus	species	new_species	new_fam	new_genus									
Viruses;;;Picornavirales;Picornaviridae;Enterovirus;Human_coxsackievirus_B3	Viruses			Picornavirales	Picornaviridae	Enterovirus	Human_coxsackievirus	Viruses;;;Picornavirales;Picornaviridae;Enterovirus;Human_coxsackievirus	Viruses;;;Picornavirales;Picornaviridae	Viruses;;;Picornavirales;Picornaviridae;Enterovirus									
Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus_8	Viruses			Herpesvirales	Herpesviridae	Varicellovirus	Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus									
Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus_4	Viruses			Herpesvirales	Herpesviridae	Varicellovirus	Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus									
Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus_1	Viruses			Herpesvirales	Herpesviridae	Varicellovirus	Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus;Equid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Varicellovirus									
Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Saimiriine_herpesvirus_1	Viruses			Herpesvirales	Herpesviridae	Simplexvirus	Saimiriine_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Saimiriine_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus									
Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Papiine_herpesvirus_2	Viruses			Herpesvirales	Herpesviridae	Simplexvirus	Papiine_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Papiine_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus									
Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Leporid_herpesvirus_4	Viruses			Herpesvirales	Herpesviridae	Simplexvirus	Leporid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Leporid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus									
Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Human_herpesvirus_2	Viruses			Herpesvirales	Herpesviridae	Simplexvirus	Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus;Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Simplexvirus									
Viruses;;;Herpesvirales;Herpesviridae;Scutavirus;Chelonid_herpesvirus_5	Viruses			Herpesvirales	Herpesviridae	Scutavirus	Chelonid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Scutavirus;Chelonid_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Scutavirus									
Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus;Human_herpesvirus_6_(strain_Uganda-1102)	Viruses			Herpesvirales	Herpesviridae	Roseolovirus	Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus;Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus									
Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus;Human_herpesvirus_6	Viruses			Herpesvirales	Herpesviridae	Roseolovirus	Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus;Human_herpesvirus	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Roseolovirus									
Viruses;;;Herpesvirales;Herpesviridae;Rhadinovirus;Wood_mouse_herpesvirus	Viruses			Herpesvirales	Herpesviridae	Rhadinovirus	Wood_mouse	Viruses;;;Herpesvirales;Herpesviridae;Rhadinovirus;Wood_mouse	Viruses;;;Herpesvirales;Herpesviridae	Viruses;;;Herpesvirales;Herpesviridae;Rhadinovirus									
